dataset,late_pct_baseline_uncapped,late_pct_capped,late_count_reduction_pct,late_penalty_reduction_pct
FD001,59.0,50.0,15.254237288135592,99.29526227738732
FD002,59.45945945945946,41.31274131274132,30.51948051948052,94.7794518473914
FD003,71.0,54.0,23.943661971830984,99.9999403055498
FD004,70.96774193548387,50.0,29.545454545454547,99.91218198803892
headline_mean,65.10680034873583,48.82818532818533,24.81570858122541,98.49670910459186
